acc,gyro
1.55593,0.52366
1.40912,0.42627
1.45295,0.30245
1.4414,0.13013
1.3308,0.09203
1.00776,0.23891
2.02316,0.23063
1.37701,0.22184
1.64019,0.34165
1.37616,0.31341
1.14773,0.30693
1.04318,0.33906
0.87282,0.29632
1.0529,0.22052
1.02362,0.27611
1.01388,0.25567
1.05179,0.19214
1.03695,0.19283
1.04052,0.16951
0.99811,0.15428
1.03592,0.13859
1.04314,0.13251
1.02369,0.13186
0.99152,0.13416
1.00484,0.13143
0.96969,0.11612
0.98635,0.10611
1.01426,0.10028
1.00664,0.0939
0.98647,0.08925
1.00578,0.0839
1.01568,0.07917
1.0418,0.08189
1.04976,0.08847
1.08669,0.10017
1.07839,0.11015
1.04307,0.12066
0.99597,0.12222
1.00272,0.12299
1.03587,0.13476
1.0434,0.15875
1.05442,0.1848
1.05896,0.21196
1.13097,0.23421
1.21776,0.25025
1.22759,0.26797
1.24799,0.28767
1.23494,0.31173
1.22876,0.33307
1.28765,0.36612
1.26537,0.4064
1.14404,0.39732
1.30356,0.39653
1.41158,0.42376
1.17373,0.41111
0.97393,0.37695
0.95008,0.34991
0.83405,0.28197
0.75006,0.26999
0.54051,0.26255
0.51593,0.19688
0.39196,0.18454
0.45918,0.26821
0.54214,0.35353
0.63066,0.41548
0.72711,0.47844
0.86573,0.53642
0.94582,0.58617
1.01892,0.63163
1.17269,0.67709
1.34455,0.70841
1.44236,0.72455
1.5135,0.73978
1.63959,0.74725
1.70845,0.72448
1.70926,0.67958
1.6404,0.6312
1.53388,0.58739
1.38774,0.54431
1.20671,0.47379
1.18815,0.36578
1.10146,0.24005
1.0703,0.14907
1.11059,0.19784
1.55577,0.26834
2.02323,0.29454
1.503,0.5159
1.86417,0.53014
1.79671,0.36175
1.24579,0.26307
1.29484,0.30678
0.94211,0.35552
0.85457,0.29995
1.03367,0.25137
1.02265,0.29027
1.03624,0.26797
1.01527,0.22158
1.02394,0.19981
1.0121,0.18533
1.00349,0.16896
1.03741,0.1414
1.03991,0.12438
1.02158,0.11654
1.00078,0.1119
1.00735,0.10607
0.99843,0.09368
0.96638,0.08805
0.97086,0.08169
1.00187,0.07579
0.98627,0.07505
1.00801,0.07832
1.00767,0.08327
1.00861,0.08896
1.00678,0.08793
1.01505,0.08742
1.03374,0.0922
1.04342,0.10186
1.0118,0.11235
1.01121,0.12076
0.99472,0.12537
0.97826,0.13229
0.98016,0.14645
0.98371,0.1605
0.99001,0.16588
1.00829,0.18949
1.02949,0.19938
1.03576,0.185
1.09189,0.17202
1.04487,0.18555
1.0257,0.21766
1.0717,0.24133
1.07104,0.29048
1.10833,0.38053
1.09876,0.46394
1.04703,0.56328
1.02915,0.65578
1.01815,0.72221
0.99187,0.80176
0.95893,0.88033
0.95475,0.94622
0.94664,1.00279
0.9312,1.03407
0.89013,1.02712
0.94306,1.00338
0.97334,0.96899
0.93692,0.89719
1.00181,0.80451
1.04132,0.73332
1.07114,0.6851
1.099,0.62933
1.09002,0.5602
1.06623,0.49177
1.03674,0.43081
1.00728,0.38502
1.00917,0.35665
1.00832,0.34535
1.03625,0.34746
1.05168,0.34961
1.05253,0.34515
1.04833,0.33961
1.02777,0.33377
1.00414,0.32333
0.99963,0.31732
1.00182,0.31098
0.99121,0.29056
0.96836,0.27581
0.95817,0.26139
1.06929,0.22118
1.12109,0.14064
1.16088,0.10888
1.1409,0.09207
1.11845,0.05989
1.0276,0.08346
1.04859,0.08094
1.028,0.08894
0.96725,0.08925
0.9852,0.08848
0.98187,0.09093
1.03619,0.08851
0.99037,0.07604
0.95657,0.06337
1.00431,0.05993
1.00339,0.07398
0.98328,0.08244
1.00529,0.07945
1.0292,0.07858
1.01024,0.08113
1.01159,0.08201
1.00486,0.08516
1.02168,0.08063
1.02623,0.07977
1.04624,0.08478
1.00268,0.09087
1.00431,0.08881
0.99869,0.08532
0.98327,0.08655
0.96477,0.08784
0.97844,0.089
0.96949,0.09379
0.99917,0.10153
0.99558,0.1148
1.02243,0.12445
0.99045,0.10949
1.00657,0.07929
1.01504,0.06393
1.01826,0.07369
1.00511,0.07891
1.04786,0.07256
1.01623,0.07627
1.0111,0.08456
1.04525,0.09189
1.04592,0.10832
1.02725,0.13005
1.04929,0.14774
1.06867,0.166
1.13673,0.18426
1.19474,0.20738
1.21379,0.2252
1.17755,0.23938
1.2048,0.25676
1.25523,0.27831
1.23381,0.31938
1.23679,0.35804
1.22849,0.3667
1.30552,0.38881
1.33045,0.41598
1.23492,0.40726
1.06066,0.36088
1.05602,0.32964
1.03034,0.27332
0.82075,0.2188
0.5874,0.25055
0.53377,0.23227
0.47357,0.22535
0.48368,0.27412
0.49124,0.35381
0.54727,0.42447
0.62121,0.49827
0.75659,0.57425
0.88693,0.6354
1.01831,0.68305
1.17167,0.71776
1.359,0.74537
1.54863,0.7694
1.71166,0.78746
1.80667,0.7914
1.87122,0.76837
1.8874,0.71122
1.92612,0.60669
1.7437,0.47443
1.73004,0.32112
1.71434,0.1206
1.3992,0.17988
1.54273,0.31
2.20671,0.20147
1.64185,0.34194
1.565,0.33509
1.37046,0.30669
1.1363,0.30467
0.7542,0.2941
0.93273,0.24634
0.964,0.22754
0.97935,0.21108
1.00544,0.18225
1.11962,0.18341
1.06935,0.14938
1.00696,0.13931
1.02291,0.12505
1.03814,0.11787
1.03362,0.11461
1.04444,0.11523
1.01266,0.11624
0.99929,0.11682
0.96757,0.11716
0.98248,0.12192
0.99186,0.12835
0.98132,0.13003
0.97728,0.12992
0.98512,0.12653
1.02688,0.11694
1.03467,0.1124
1.02141,0.10933
1.03738,0.11063
1.01733,0.11224
0.98556,0.11278
1.01028,0.1193
1.04147,0.14004
1.08436,0.16692
1.0818,0.19792
1.09035,0.22976
1.21291,0.25438
1.32203,0.27362
1.31235,0.29368
1.29203,0.31605
1.34375,0.34226
1.33009,0.39818
1.38819,0.41669
1.22128,0.40471
1.36481,0.40798
1.50467,0.45
1.26754,0.43134
1.05162,0.38143
0.96049,0.35881
0.82044,0.24695
0.65039,0.19217
0.50626,0.20571
0.43468,0.1925
0.32691,0.22583
0.48358,0.31432
0.51599,0.40338
0.59471,0.47481
0.66209,0.54359
0.82357,0.61185
0.9297,0.66706
1.04229,0.71089
1.233,0.75462
1.41605,0.79036
1.61796,0.82359
1.8414,0.84864
1.99813,0.84307
2.04217,0.77971
1.92437,0.68082
1.87019,0.56025
1.92233,0.40625
1.85959,0.20101
1.57836,0.07277
1.0877,0.266
2.22584,0.26354
