acc,gyro
0.69172,0.37303
0.76745,0.39541
0.81951,0.41047
0.85899,0.42163
0.93521,0.42329
0.96387,0.41616
0.98943,0.4037
1.01023,0.39032
1.00888,0.37341
0.98343,0.35593
0.95833,0.34101
0.93335,0.32509
0.85925,0.29753
0.68637,0.25053
4.12607,0.22373
2.84288,0.17331
1.40594,0.19243
1.3647,0.2123
2.14266,0.14844
0.9585,0.11053
1.0126,0.0713
1.17073,0.04545
0.9163,0.03114
1.04978,0.02369
1.03285,0.02734
1.0144,0.04344
1.02811,0.0542
1.0108,0.06115
0.9814,0.06422
1.02616,0.07071
0.98853,0.08064
0.99729,0.092
0.99664,0.10228
0.99981,0.10472
0.9755,0.09737
0.97551,0.09254
0.99544,0.0879
0.96918,0.07728
0.95307,0.06045
1.00349,0.04504
0.98974,0.03204
0.97147,0.02139
0.97655,0.01593
1.00708,0.01204
1.03022,0.02061
1.02384,0.03233
1.02982,0.04379
1.02793,0.05656
1.01931,0.06562
1.01876,0.06542
1.04398,0.07372
1.02648,0.07249
1.04951,0.07151
1.04747,0.07658
1.07552,0.08493
1.08621,0.09038
1.11748,0.09221
1.14973,0.10622
1.24661,0.12157
1.23277,0.13573
1.27888,0.1563
1.38261,0.17666
1.35633,0.2164
1.24836,0.25063
1.16896,0.22583
1.11677,0.13125
1.16219,0.10801
1.08922,0.15941
0.97406,0.19439
1.16748,0.24204
1.72834,0.23839
1.49774,0.24524
1.38572,0.28485
1.34085,0.31072
1.27743,0.32804
1.19639,0.31064
1.12346,0.30391
1.07103,0.32649
1.0342,0.31936
0.82477,0.28648
0.6649,0.25747
0.61888,0.25192
0.65174,0.23108
0.63226,0.22494
0.61402,0.24859
0.59405,0.25229
0.55824,0.26045
0.59193,0.28575
0.61427,0.31885
0.68578,0.35666
0.71661,0.38195
0.72211,0.39692
0.79314,0.407
0.86143,0.40331
0.91482,0.39086
0.93426,0.36977
0.92282,0.34935
0.92004,0.33432
0.86911,0.31537
0.75389,0.28633
2.91547,0.3116
4.79078,0.26887
0.90187,0.25059
1.40425,0.09697
1.26118,0.14573
1.54436,0.09086
0.89779,0.07014
0.95853,0.04473
1.05211,0.00761
1.02316,0.02346
1.11191,0.03174
1.01691,0.05381
0.99258,0.07272
1.04062,0.08556
1.03082,0.09626
1.00819,0.10819
0.96769,0.1178
0.97155,0.12122
0.98545,0.1133
0.96589,0.10324
0.96488,0.09216
1.00015,0.08511
1.02454,0.08236
0.97905,0.07268
0.9397,0.05554
0.9593,0.04001
0.95904,0.02772
0.98663,0.02301
1.01508,0.02127
1.00441,0.02313
0.99984,0.01491
0.99497,0.01681
1.0253,0.01495
1.02646,0.01473
1.00437,0.02047
1.00397,0.021
1.00426,0.03155
1.00277,0.05092
1.03064,0.06108
1.02245,0.06213
0.99494,0.07068
1.06333,0.07348
1.11436,0.07223
1.11163,0.08044
1.07008,0.09849
1.21554,0.10716
1.29472,0.13331
1.36637,0.16783
1.48828,0.18889
1.43341,0.2225
1.32622,0.24919
1.26744,0.24614
1.18446,0.20845
1.03818,0.12464
1.12748,0.11379
1.24927,0.17783
1.15348,0.22643
1.40274,0.22701
1.36751,0.23111
1.29432,0.2866
1.26872,0.34312
1.28739,0.36367
1.24769,0.32239
1.18504,0.30614
1.16221,0.32452
1.06985,0.3164
0.92398,0.28821
0.81897,0.26095
0.75981,0.24258
0.6976,0.23317
0.6815,0.21975
0.70078,0.17692
0.62972,0.16033
0.6139,0.18232
0.59212,0.21524
0.59838,0.25772
0.6346,0.30427
0.66569,0.33791
0.68993,0.36201
0.78158,0.38253
0.85323,0.38481
0.87204,0.37775
0.87192,0.36239
0.87709,0.34242
0.87443,0.31656
0.85664,0.28941
0.76538,0.2508
3.36075,0.30562
3.71068,0.26878
0.64142,0.2459
1.27681,0.13968
1.84768,0.14827
1.03518,0.09871
1.04221,0.09395
0.91657,0.06009
1.09332,0.02956
1.03962,0.022
1.05528,0.01862
1.01292,0.03194
1.0202,0.05011
1.03408,0.06374
1.02377,0.07506
0.99727,0.08378
0.99604,0.0917
0.9952,0.09616
0.98043,0.0971
0.95478,0.09265
0.97443,0.08599
1.01821,0.0772
0.99875,0.06196
0.96846,0.05273
0.99083,0.04271
0.97357,0.02507
0.97821,0.01629
0.99655,0.0124
1.00643,0.00936
1.03532,0.01228
1.01096,0.00827
1.00075,0.00766
1.01157,0.0084
1.00619,0.02081
1.00419,0.04267
0.98485,0.05438
1.00707,0.06444
1.00393,0.07106
1.04135,0.07674
1.10539,0.07996
1.13411,0.10425
1.13433,0.11523
1.2719,0.14954
1.35417,0.16668
1.46751,0.18328
1.48597,0.20076
1.40186,0.22715
1.34174,0.25372
1.30277,0.26436
1.20605,0.2363
1.03697,0.16421
1.10393,0.12602
1.12013,0.1746
0.97559,0.25109
1.24645,0.30319
1.69965,0.27695
1.42014,0.25664
1.27423,0.27819
1.21084,0.30461
1.18789,0.31477
1.15688,0.3105
1.08175,0.29587
1.02597,0.28169
0.96088,0.28296
0.83943,0.28049
0.68376,0.26633
0.59518,0.27797
0.59021,0.28932
0.62355,0.27578
0.69847,0.27435
0.68539,0.28158
0.67032,0.29404
0.68446,0.3001
0.69986,0.30839
0.69674,0.33248
0.75068,0.36391
0.798,0.384
0.77336,0.40221
0.77576,0.42322
0.82698,0.44076
0.8893,0.45231
0.91107,0.45536
0.92563,0.45132
0.96288,0.43589
0.94432,0.40849
0.91157,0.36797
0.90251,0.32312
3.19438,0.26836
3.83771,0.19641
0.35084,0.18717
1.36414,0.11243
1.37926,0.18989
1.37112,0.12561
0.9607,0.07402
1.01859,0.04911
1.08293,0.0377
1.06678,0.04656
1.00847,0.05748
1.0625,0.07132
1.01534,0.08472
1.01636,0.08956
1.00026,0.0947
0.98363,0.09887
0.99256,0.10004
0.967,0.09648
0.99038,0.09308
0.98175,0.08998
0.9817,0.08375
0.97995,0.07414
0.98503,0.06313
0.97715,0.04911
0.96649,0.03469
1.00907,0.02284
0.99444,0.01095
0.98978,0.00976
0.9951,0.01584
0.99467,0.01902
0.99141,0.02689
0.99056,0.03737
0.97399,0.04607
0.99785,0.04317
1.03737,0.04157
1.05134,0.05362
1.01228,0.0646
1.03838,0.07495
1.04737,0.08373
1.08591,0.09228
1.12937,0.09502
1.21311,0.10768
1.29555,0.12158
1.33776,0.12608
1.36797,0.13387
1.41944,0.14764
1.37561,0.17488
1.30659,0.21267
1.23246,0.23396
1.14925,0.20402
1.07544,0.12124
1.11914,0.11691
1.1005,0.18444
1.03283,0.31117
1.33586,0.38397
1.61207,0.3654
1.4314,0.35881
1.34249,0.38207
1.34956,0.406
1.30477,0.41555
1.27084,0.41703
1.22283,0.40534
1.05069,0.37359
0.8763,0.34135
0.67094,0.31627
0.59514,0.30324
0.578,0.31062
0.58338,0.30379
0.54147,0.26823
0.5452,0.26535
0.57653,0.27903
0.59388,0.27329
0.59643,0.27809
